Run,Model,True_Label,Predicted_Label,Count
3,MobileNet (Mel),Perkutut,Cendet,0
3,MobileNet (Mel),Perkutut,Gereja,0
3,MobileNet (Mel),Perkutut,Kutilang,1
3,MobileNet (Mel),Perkutut,Perkutut,14
3,MobileNet (Mel),Perkutut,Tekukur,0
3,MobileNet (Mel),Perkutut,Trucukan,1
3,MobileNet (Mel),Tekukur,Cendet,0
3,MobileNet (Mel),Tekukur,Gereja,0
3,MobileNet (Mel),Tekukur,Kutilang,0
3,MobileNet (Mel),Tekukur,Perkutut,1
3,MobileNet (Mel),Tekukur,Tekukur,14
3,MobileNet (Mel),Tekukur,Trucukan,0
3,MobileNet (Mel),Trucukan,Cendet,0
3,MobileNet (Mel),Trucukan,Gereja,0
3,MobileNet (Mel),Trucukan,Kutilang,1
3,MobileNet (Mel),Trucukan,Perkutut,0
3,MobileNet (Mel),Trucukan,Tekukur,0
3,MobileNet (Mel),Trucukan,Trucukan,18
3,MobileNet (MFCC),Cendet,Cendet,18
3,MobileNet (MFCC),Cendet,Gereja,1
3,MobileNet (MFCC),Cendet,Kutilang,0
3,MobileNet (MFCC),Cendet,Perkutut,0
3,MobileNet (MFCC),Cendet,Tekukur,0
3,MobileNet (MFCC),Cendet,Trucukan,0
3,MobileNet (MFCC),Gereja,Cendet,1
3,MobileNet (MFCC),Gereja,Gereja,11
3,MobileNet (MFCC),Gereja,Kutilang,0
3,MobileNet (MFCC),Gereja,Perkutut,0
3,MobileNet (MFCC),Gereja,Tekukur,0
3,MobileNet (MFCC),Gereja,Trucukan,1
3,MobileNet (MFCC),Kutilang,Cendet,0
3,MobileNet (MFCC),Kutilang,Gereja,0
3,MobileNet (MFCC),Kutilang,Kutilang,30
3,MobileNet (MFCC),Kutilang,Perkutut,0
3,MobileNet (MFCC),Kutilang,Tekukur,0
3,MobileNet (MFCC),Kutilang,Trucukan,0
3,MobileNet (MFCC),Perkutut,Cendet,0
3,MobileNet (MFCC),Perkutut,Gereja,0
3,MobileNet (MFCC),Perkutut,Kutilang,0
3,MobileNet (MFCC),Perkutut,Perkutut,16
3,MobileNet (MFCC),Perkutut,Tekukur,0
3,MobileNet (MFCC),Perkutut,Trucukan,0
3,MobileNet (MFCC),Tekukur,Cendet,0
3,MobileNet (MFCC),Tekukur,Gereja,0
3,MobileNet (MFCC),Tekukur,Kutilang,0
3,MobileNet (MFCC),Tekukur,Perkutut,0
3,MobileNet (MFCC),Tekukur,Tekukur,15
3,MobileNet (MFCC),Tekukur,Trucukan,0
3,MobileNet (MFCC),Trucukan,Cendet,0
3,MobileNet (MFCC),Trucukan,Gereja,0
3,MobileNet (MFCC),Trucukan,Kutilang,1
3,MobileNet (MFCC),Trucukan,Perkutut,0
3,MobileNet (MFCC),Trucukan,Tekukur,0
3,MobileNet (MFCC),Trucukan,Trucukan,18
4,MobileNet (Mel),Cendet,Cendet,16
4,MobileNet (Mel),Cendet,Gereja,1
4,MobileNet (Mel),Cendet,Kutilang,2
4,MobileNet (Mel),Cendet,Perkutut,0
